statecounty,county,Year,Pollutant,Unit,Average concentration
27027,"Clay County, Minnesota",2013,Ozone,parts per billion,37
27027,"Clay County, Minnesota",2013,PM2.5,micrograms per cubic meter,7.9
27027,"Clay County, Minnesota",2014,Ozone,parts per billion,35
27027,"Clay County, Minnesota",2014,PM2.5,micrograms per cubic meter,6.8
27027,"Clay County, Minnesota",2015,Ozone,parts per billion,34
27027,"Clay County, Minnesota",2015,PM2.5,micrograms per cubic meter,7.3
27027,"Clay County, Minnesota",2016,Ozone,parts per billion,32
27027,"Clay County, Minnesota",2016,PM2.5,micrograms per cubic meter,5.9
27027,"Clay County, Minnesota",2017,Ozone,parts per billion,34
27027,"Clay County, Minnesota",2017,PM2.5,micrograms per cubic meter,7.6
27027,"Clay County, Minnesota",2018,Ozone,parts per billion,36
