Utility ID,Utility Name,Plant Code,Plant Name,State,County,Generator ID,Technology,Prime Mover,Unit Code,Ownership,Duct Burners,Can Bypass Heat Recovery Steam Generator?,RTO/ISO LMP Node Designation,RTO/ISO Location Designation for Reporting Wholesale Sales Data to FERC,Nameplate Capacity (MW),Nameplate Power Factor,Summer Capacity (MW),Winter Capacity (MW),Minimum Load (MW),Uprate or Derate Completed During Year,Month Uprate or Derate Completed,Year Uprate or Derate Completed,Status,Synchronized to Transmission Grid,Operating Month,Operating Year,Retirement Month,Retirement Year,Associated with Combined Heat and Power System,Sector Name,Sector,Topping or Bottoming,Energy Source 1,Energy Source 2,Energy Source 3,Energy Source 4,Energy Source 5,Energy Source 6,Startup Source 1,Startup Source 2,Startup Source 3,Startup Source 4,Solid Fuel Gasification System?,Carbon Capture Technology?,Turbines or Hydrokinetic Buoys,Time from Cold Shutdown to Full Load,Fluidized Bed Technology?,Pulverized Coal Technology?,Stoker Technology?,Other Combustion Technology?,Subcritical Technology?,Supercritical Technology?,Ultrasupercritical Technology?,Multiple Fuels?,Cofire Fuels?,Switch Between Oil and Natural Gas?
16764,City of San Diego,55602,North City - Landfill Gas Engines South,CA,San Diego,UNT4,Landfill Gas,IC,,S,X,X,,,0.9,0.800,0.9,0.9,0.7,N, , ,RE,X,3,1999,3,2022,N,IPP Non-CHP,2,X,LFG,NG,,,,,,,,,N,, ,1H,,,,,,,,Y,N,N
14354,PacifiCorp,55607,Foote Creek I,WY,Carbon,GEN1,Onshore Wind Turbine,WT,,S,X,X,,,41.4, ,41.4,41.4,0.0,N, , ,RE,X,4,1999,12,2023,N,Electric Utility,1,X,WND,,,,,,,,,,N,,12,,,,,,,,,N,,
14354,PacifiCorp,55608,Foote Creek II,WY,Carbon,GEN1,Onshore Wind Turbine,WT,,S,X,X,,,1.8, ,1.8,1.8,0.0,N, , ,RE,X,6,1999,12,2023,N,Electric Utility,1,X,WND,,,,,,,,,,N,N,1,,,,,,,,,,,
14354,PacifiCorp,55609,Foote Creek III,WY,Carbon,GEN1,Onshore Wind Turbine,WT,,S,X,X,,,24.8, ,24.8,24.8,0.0,N, , ,RE,X,6,1999,12,2023,N,Electric Utility,1,X,WND,,,,,,,,,,N,N,6,,,,,,,,,,,
14354,PacifiCorp,55610,Foote Creek IV,WY,Carbon,GEN1,Onshore Wind Turbine,WT,,S,X,X,,,16.8, ,16.8,16.8,0.0,N, , ,RE,X,8,2000,12,2023,N,Electric Utility,1,X,WND,,,,,,,,,,N,N,5,,,,,,,,,,,
772,Archer Daniels Midland Co,55638,Walhalla,ND,Pembina,GEN1,Conventional Steam Coal,ST,,S,X,X,,,2.0, ,2.0,2.0, ,N, , ,RE,X,12,2000,4,2012,Y,Industrial CHP,7,T,SUB,,,,,,NG,,,,N,, ,,,,,,Y,,,,,
2799,Calpine Corp - Metcalf Energy Center,55642,Moapa Paiute Energy Center,NV,Clark,CTG1,Natural Gas Fired Combined Cycle,CT,,S,X,N,,,212.0, ,185.0,192.0, ,N, , ,CN,X, , , , ,N,IPP Non-CHP,2,X,NG,,,,,,,,,,,, ,,,,,,,,,,,
2799,Calpine Corp - Metcalf Energy Center,55642,Moapa Paiute Energy Center,NV,Clark,CTG2,Natural Gas Fired Combined Cycle,CT,,S,X,N,,,212.0, ,185.0,192.0, ,N, , ,CN,X, , , , ,N,IPP Non-CHP,2,X,NG,,,,,,,,,,,, ,,,,,,,,,,,
2799,Calpine Corp - Metcalf Energy Center,55642,Moapa Paiute Energy Center,NV,Clark,CTG3,Natural Gas Fired Combined Cycle,CT,,S,X,N,,,212.0, ,185.0,192.0, ,N, , ,CN,X, , , , ,N,IPP Non-CHP,2,X,NG,,,,,,,,,,,, ,,,,,,,,,,,
2799,Calpine Corp - Metcalf Energy Center,55642,Moapa Paiute Energy Center,NV,Clark,STG1,Natural Gas Fired Combined Cycle,CA,,S,Y,X,,,574.0, ,492.0,504.0, ,N, , ,CN,X, , , , ,N,IPP Non-CHP,2,X,NG,,,,,,,,,,,, ,,,,,,,,,,,
