"","...1","...2","ORGID","ORGTYPE","ORGNUMBER","SCHNUMBER","FORMID","GISNAME","MDENAME","ALTNAME","GISADDR","MDEADDR","PUBPRIV","LOCTYPE","GRADERANGE","CLASS","MAGNET","LOCDISTID","LOCDISTNAM","COUNTYCODE","COUNTYNAME","CREATEDT","UPDATEDT","FED_SCHNUM","WEB_URL","YEAR","geometry","within_1mile_pp","schools_in_ej","nearest_pp_id","nearest_pp_dist_m","nearest_pp_dist_mi","zip_code"
"102",102,102,2.40103e+11,"24","0103","000","0103-24","Minnesota School of Horseshoeing","Minnesota School of Horseshoeing",NA,"6250 Riverdale Dr NW, Ramsey, MN 55303","6250 Riverdale Drive NW, Ramsey, MN 55303","Private or Nonpublic","Head",NA,NA,"NO",1.0011e+10,"Anoka-Hennepin",27003,"Anoka",2016-09-20,2022-04-29,NA,"https://www.mnschoolofhorseshoeing.com/programs","SY2024-25","c(466495.9228","5007257.3219)",FALSE,FALSE,62061,4789.68992124739,"2.97618273406949,""55303"""
"103",103,103,2.40104e+11,"24","0104","000","0104-24","Minnesota School of Piano Technology","Minnesota School of Piano Technology",NA,"1753 Commerce Ct, White Bear Lake, MN 55110","1753 Commerce Ct, White Bear Lake, MN 55110","Private or Nonpublic","Head",NA,NA,"NO",1.0624e+10,"White Bear Lake",27123,"Ramsey",2016-09-20,2022-08-30,NA,"https://www.mnpianotech.com/","SY2024-25","c(497697.9134","4988260.7801)",FALSE,FALSE,55824,12131.9480831859,"7.53846178134263,""55110"""
"104",104,104,2.40106e+11,"24","0106","000","0106-24","KHEC, Inc./Kaplan Professional Schools","KHEC, Inc./Kaplan Professional Schools",NA,"1295 Bandana Blvd, Saint Paul, MN 55108","Atrium Office Building 1295 Bandan, Saint Paul, MN 55108","Private or Nonpublic","Head",NA,NA,"NO",1.0625e+10,"Saint Paul",27123,"Ramsey",2016-09-20,2024-05-31,NA,"http://www.kpsminnesota.com","SY2024-25","c(487794.4038","4979947.1379)",FALSE,TRUE,55824,4455.80405278348,"2.76871515825337,""55108"""
"105",105,105,2.40111e+11,"24","0111","000","0111-24","Bravura Training","Bravura Training",NA,"5775 Wayzata Blvd, Saint Louis Park, MN 55416","5775 Wayzata Boulevard Suite 700, Saint Louis Park, MN 55416","Private or Nonpublic","Head",NA,NA,"NO",1.0283e+10,"St. Louis Park",27053,"Hennepin",2016-09-20,2022-03-01,NA,"http://www.bravuraservices.com","SY2024-25","c(472084.1889","4979550.8149)",FALSE,FALSE,10013,6022.67110681621,"3.74232362758411,""55416"""
"106",106,106,2.40112e+11,"24","0112","000","0112-24","Minnesota Resource Center","Minnesota Resource Center",NA,"2438 27th Ave S, Minneapolis, MN 55406","2438 27th Avenue South Suite 100, Minneapolis, MN 55406","Private or Nonpublic","Head",NA,NA,"NO",3.0001e+10,"Minneapolis",27053,"Hennepin",2016-09-20,2022-04-28,NA,"http://www.mrc-mn.org","SY2024-25","c(481589.7444","4978294.5116)",FALSE,FALSE,59197,2379.35892331941,"1.47846876565512,""55406"""
"107",107,107,2.40113e+11,"24","0113","000","0113-24","Montessori Training Center of MN","Montessori Training Center of Minnesota",NA,"1611 Ames Ave, Saint Paul, MN 55106","1611  Ames Ave, Saint Paul, MN 55106","Private or Nonpublic","Head",NA,NA,"NO",1.0625e+10,"Saint Paul",27123,"Ramsey",2016-09-20,2024-05-31,NA,"https://www.montessoricentermn.org/","SY2024-25","c(497440.646","4980191.5517)",FALSE,TRUE,56643,6197.70205719299,"3.85108308821815,""55106"""
"108",108,108,2.40115e+11,"24","0115","000","0115-24","Northwestern Academy of Homeopathy","Northwestern Academy of Homeopathy",NA,"7104 West Lake St, Saint Louis Park, MN 55426","7104 West Lake Street, Saint Louis Park, MN 55426","Private or Nonpublic","Head",NA,NA,"NO",1.0283e+10,"St. Louis Park",27053,"Hennepin",2016-09-20,2022-02-16,NA,"http://www.classicalhomeopathicschool.com","SY2024-25","c(471032.7002","4976110.9669)",FALSE,FALSE,10013,8504.08120973996,"5.28420421398832,""55426"""
"109",109,109,2.40119e+11,"24","0119","000","0119-24","Intertech","Intertech",NA,"1575 Thomas Center Dr, Eagan, MN 55122","1575 Thomas Center Drive, Eagan, MN 55122","Private or Nonpublic","Head",NA,NA,"NO",1.0196e+10,"Rosemount-Apple Valley-Eagan",27037,"Dakota",2016-09-20,2022-04-04,NA,"http://www.intertech.com","SY2024-25","c(485644.4541","4959864.4934)",FALSE,FALSE,1904,5813.09151204913,"3.61209658123773,""55122"""
"110",110,110,2.4012e+11,"24","0120","000","0120-24","Institute of Production and Recording","Institute of Production and Recording, The",NA,"300 1st Ave N, Minneapolis, MN 55401","300 1st Ave N, Minneapolis, MN 55401","Private or Nonpublic","Head",NA,NA,"NO",3.0001e+10,"Minneapolis",27053,"Hennepin",2016-09-20,2023-10-24,NA,"http://www.ipr.edu","SY2024-25","c(478558.6273","4980995.3987)",TRUE,FALSE,10013,677.653092549895,"0.421075156616933,""55401"""
"111",111,111,2.40121e+11,"24","0121","000","0121-24","Brainco-Minneapolis School","Brainco-Minneapolis School of Advertising Design and Interactive Studies","Advertising Design and Interactive Studies","2601 2nd Ave S, Minneapolis, MN 55408","2601 2nd Ave S, Minneapolis, MN 55408","Private or Nonpublic","Head",NA,NA,"NO",3.0001e+10,"Minneapolis",27053,"Hennepin",2016-09-20,2023-10-24,NA,"https://brainco.org/","SY2024-25","c(478401.8756","4978022.9021)",FALSE,TRUE,10013,3151.57294318173,"1.95830150445632,""55408"""
